OBJECTID_1,STATION_ID,COUNTY,LATITUDE,LONGITUDE,ATIS_ID,SE_ANNO_CAD_DATA,LINE_CODE,LAYER,MUNICIPALITY,RAIL_SERVICE,ADA,x,y
45,Lyons,Somerset,40.68488,-74.5495,76,System.Byte[],GL,STATIONS,Bernards Twp,GL,YES,478398.156239677,674400.316121355
46,Millington,Morris,40.67352,-74.5236,89,System.Byte[],GL,STATIONS,Long Hill Twp,GL,NO,485580.57330526,670261.310619861
47,Stirling,Morris,40.67458,-74.49378,144,System.Byte[],GL,STATIONS,Long Hill Twp,GL,NO,493850.706699342,670643.972584188
48,Gillette,Morris,40.67826,-74.46829,48,System.Byte[],GL,STATIONS,Long Hill Twp,GL,NO,500919.146958761,671987.421668939
49,Murray Hill,Union,40.69503,-74.40322,100,System.Byte[],GL,STATIONS,New Providence,GL,NO,518959.457662843,678108.99374336
50,Berkeley Heights,Union,40.68233,-74.44267,17,System.Byte[],GL,STATIONS,Berkeley Heights Twp,GL,NO,508023.982158508,673474.764494777
51,New Providence,Union,40.71211,-74.38644,105,System.Byte[],GL,STATIONS,New Providence,GL,NO,523603.016289093,684338.900246777
52,Summit,Union,40.71654,-74.35775,146,System.Byte[],ME,STATIONS,Summit,"ME, GL",YES,531554.631291341,685961.929152943
53,Short Hills,Essex,40.72526,-74.3238,137,System.Byte[],ME,STATIONS,Millburn Twp,"ME, GL",NO,540959.428754676,689158.100910194
54,Millburn,Essex,40.72563,-74.30381,88,System.Byte[],ME,STATIONS,Millburn Twp,"ME, GL",NO,546498.35993401,689304.806981608
55,Maplewood,Essex,40.73116,-74.2754,81,System.Byte[],ME,STATIONS,Maplewood Twp,"ME, GL",NO,554366.040720925,691336.472865775
56,South Orange,Essex,40.7459,-74.26058,141,System.Byte[],ME,STATIONS,South Orange Twp,"ME, GL",YES,558459.231681511,696716.986711025
57,Mountain Station,Essex,40.75542,-74.25299,98,System.Byte[],ME,STATIONS,South Orange Twp,"ME, GL",NO,560553.995536592,700189.911523692
58,Highland Avenue,Essex,40.76688,-74.24372,60,System.Byte[],ME,STATIONS,City Of Orange Twp,"ME, GL",NO,563107.466151427,704374.368377857
59,Orange,Essex,40.77189,-74.23313,113,System.Byte[],ME,STATIONS,City Of Orange Twp,"ME, GL",NO,566036.087590758,706206.657692276
60,Brick Church,Essex,40.76549,-74.21927,23,System.Byte[],ME,STATIONS,East Orange,"ME, GL",NO,569882.690461844,703889.189230107
61,East Orange,Essex,40.76104,-74.21096,37,System.Byte[],ME,STATIONS,East Orange,"ME, GL",YES,572189.031977758,702272.223960109
62,Newark Broad Street,Essex,40.74762,-74.1719,107,System.Byte[],ME,STATIONS,Newark,"ME, GL, MC, ",YES,583027.487991091,697422.784840107
63,New York Penn Station,"New York, NY",40.75005,-73.99236,106,System.Byte[],NE,STATIONS,New York,"NE, NC, RV, ME, GL, MC",YES,632765.705443591,698546.228787437
64,Mount Olive,Morris,40.90738,-74.73065,94,System.Byte[],ME,STATIONS,Mt Olive Twp,"ME, MC",YES,428376.442963094,755539.676808193
65,Hackettstown,Warren,40.85202,-74.83479,53,System.Byte[],ME,STATIONS,Hackettstown,"ME, MC",YES,399514.698521342,735464.364924774
66,Netcong,Morris,40.89756,-74.70726,102,System.Byte[],ME,STATIONS,Netcong,"ME, MC",NO,434830.836878426,751944.635769941
67,Lake Hopatcong,Morris,40.90433,-74.66573,67,System.Byte[],ME,STATIONS,Roxbury Twp,"ME, MC",NO,446316.888381343,754387.69125127
68,Dover,Morris,40.88342,-74.55581,35,System.Byte[],ME,STATIONS,Dover,"ME, MC",YES,476695.288254343,746731.236747943
69,Denville,Morris,40.8839,-74.48151,34,System.Byte[],ME,STATIONS,Denville Twp,"ME, MC",YES,497237.084112927,746899.173748024
70,Mount Tabor,Morris,40.87587,-74.48193,95,System.Byte[],ME,STATIONS,Denville Twp,ME,NO,497122.832372926,743974.91712936
71,Morris Plains,Morris,40.82872,-74.4782,92,System.Byte[],ME,STATIONS,Morris Plains,ME,NO,498157.51468676,726797.960997775
72,Morristown,Morris,40.79722,-74.47416,93,System.Byte[],ME,STATIONS,Morristown,ME,YES,499279.906470843,715322.554158606
73,Convent Station,Morris,40.77903,-74.4434,30,System.Byte[],ME,STATIONS,Morris Twp,ME,NO,507797.877623841,708699.257037774
74,Madison,Morris,40.75707,-74.41513,77,System.Byte[],ME,STATIONS,Madison,ME,YES,515635.450531341,700708.04336144
75,Chatham,Morris,40.74019,-74.38496,27,System.Byte[],ME,STATIONS,Chatham,ME,NO,524000.254667841,694568.157347277
76,Mountain Lakes,Morris,40.88596,-74.43358,97,System.Byte[],MC,STATIONS,Mountain Lakes,MC,NO,510489.37781826,747659.416978188
77,Boonton,Morris,40.90338,-74.40773,20,System.Byte[],MC,STATIONS,Boonton,MC,YES,517629.099759258,754011.669693604
78,Towaco,Morris,40.92285,-74.34377,148,System.Byte[],MC,STATIONS,Montville Twp,MC,YES,535295.250122424,761128.326720111
79,Lincoln Park,Morris,40.92414,-74.30182,69,System.Byte[],MC,STATIONS,Lincoln Park,MC,NO,546885.252204843,761623.499942355
80,Mountain View-Wayne,Passaic,40.91398,-74.26781,99,System.Byte[],MC,STATIONS,Wayne Twp,MC,YES,556295.40333201,757942.989258774
81,Little Falls,Passaic,40.88067,-74.23537,72,System.Byte[],MC,STATIONS,Little Falls Twp,MC,NO,565295.880409759,745835.628302939
82,Montclair Heights,Essex,40.85754,-74.20249,90,System.Byte[],MC,STATIONS,Montclair Twp,MC,YES,574416.34051526,737437.275677107
83,Mountain Avenue,Essex,40.84872,-74.2053,96,System.Byte[],MC,STATIONS,Montclair Twp,MC,NO,573648.685226426,734222.470098861
84,Upper Montclair,Essex,40.84202,-74.20936,151,System.Byte[],MC,STATIONS,Montclair Twp,MC,NO,572534.99782126,731775.03700161
85,Watchung Avenue,Essex,40.82952,-74.20693,154,System.Byte[],MC,STATIONS,Montclair Twp,MC,NO,573221.933783341,727225.007715859
